path,source,source_label,class
Acne/acne_dataset_pigmentation_0_8248.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_1658.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_2996.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_6739.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_7786.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_2118.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_7428.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_9115.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_6944.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_evolv_gallery-zoskin-patient4-before-2.png,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_3933.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_7174.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_4572.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_179.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_3317.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_k92m6peqn1n31.jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_8916.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_acnemi01b580b8_1414229-860x573.jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_2441.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_2150.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_435.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_5941.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_1554.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_362f516bc2be4f01904fb2950eb700f411.png,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_7476.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_2 (12)11.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_C0384485-Acne_vulgaris.jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_9977.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_1786.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_1141.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_935.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_1080.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_182.jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_6740.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_4771.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_8123.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_1682.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_5754.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_6875.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_6570.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_5512.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_R (1).jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_2.png,acne_dataset,Acne,Acne
Acne/acne_dataset_11118622-6820319-image-a-24_15528711043151.jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_9950.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_8679.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_5745.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_3255.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_37.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_2886.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_OIP (12).jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_906.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_1346.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_6256.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_7468.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_3817.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_8668.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_3706.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_resize (1).jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_753.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_3.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_209.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_5951.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_4248.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_GettyImages-902372188_thumb.jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_5662.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_gallery_151762_12216_497001.jpg,acne_dataset,Acne,Acne
Acne/acne_dataset_pigmentation_0_7127.jpeg,acne_dataset,Acne,Acne
Acne/acne_dataset_maxresdefault.jpg,acne_dataset,Acne,Acne
